X,Measure.overall,Measure,Study,Tonal_N,Non_tonal_N,Tonal.Mean,Tonal.SD,Non.tonal.Mean,Non.tonal.SD,Cohen.s.D,Criteria,Measure.Description,Measure.Classification,Music.Lesson,Notes,Flip,Tonal_language,Comparison_language,sd_pool,cohen_d,total_n,hedge_g,se_smd,se_g,var_smd,var_g
1,Melodic discrimination,Melodic discrimination,Alexander et al. (2008),14,14,NA,NA,NA,NA,0.93,Sensitivity (d'),"2 blocks of 48 five-note melodies; 2AFC; Different trials differed by different combinations of 4, 3, 2, or 1 notes",Melodic,"Minimal (less than 4.5 years), no significant differences between groups","Mann-Whiteney U = 140.5, p < 0.05; two-tailed t(21.86)= 2.45, p < 0.05, d = 0.93",NA,Mandarin,English,NA,0.93,28,0.902912621,0.397871569,0.396755844,0.158301786,0.1574152
2,Melodic comparison,Melodic comparison,Bradley (2016),41,26,NA,NA,NA,NA,NA,,"Modified version of the Melodic Comparison subtest of the Musical Ear Test; piano melodies containing 3-8 notes at 100 bpm. Melodies presented in pairs, judge whether identical. Authors came up with the register test. 26 trials per condition with 13 violations each",Melodic,"Some participants received musical training, but total years of training not significantly different across groups","They had a main linear regression result but also did Mann-Whiteney tests for different trial types. beta = 0.09, t = 3.32, p < 0.001; Comes from mixed effect model; not sure if this is standardized",NA,Mandarin or Yoruba,English,NA,0.4999784,67,0.494187144,0.256029901,0.255909062,0.06555131,0.065489448
3,Pitch discrimination,Pitch discrimination,Giuliano et al. (2011),17,16,NA,NA,NA,NA,NA,,"two-tone sequences, first tone always C5; hear a pair and respond whether second tone is same or different; 130 same and 130 different trials",Fine-tuned,Both groups not significantly different in years of musical training,"F(1, 31) = 7.7, p = 0.009, graph only has specific breakdowns by cents",NA,Mandarin,English,NA,0.6664079,33,0.650154049,0.360120748,0.359566065,0.129686953,0.129287755
6,Nonspeech pitch discrimination,Nonspeech pitch discrimination,Bent et al. (2006),13,12,NA,NA,NA,NA,NA,,"standard stimuli at 150 Hz, 16 target randing from 150.5 to 158 Hz in 0.5 steps.  Two-interval forced-choice task. Participants indicate whether higher frequency was presented in first or second interval; 320 trials",Fine-tuned,Limited to little (>3 years) or no music experience,No significant differences,TRUE,Mandarin,English,NA,-0.60677819,25,0.586774513,0.409558783,0.408966413,0.167738397,0.167253527
7,F0 discrimination,F0 discrimination,Bidelman et al. (2011),11,11,1.1455,0.241,1.3545,0.738,NA,Discrimination threshold ,"hear two sequential intervals, one contains a reference pitch, one contains a comparison (higher F0). Identify which interval had higher pitch",Fine-tuned,non-musicians received less than three years of musical training; 11 English-speaking musicians not included here. ,"no significant differences; no stats reported, might need to extract from graph, T_se = 0.0728, NT_se = 0.2226",TRUE,Mandarin,English,0.548964935,-0.380716484,22,0.366258896,0.430246891,0.429961562,0.185112387,0.184866945
8,Chordal detuning discrimination,Chordal detuning discrimination,Bidelman et al. (2011),5,5,NA,NA,NA,NA,NA,,"100 pairs of chordal arpeggios; half contains chords with different thirds (major detuned up) half contains the same chord; participants judge whether the two are same; ""detect chordal detuning at a perceptual level""",Fine-tuned,non-musicians received less than three years of musical training; 11 English-speaking musicians not included here. ,no significant differences observed; plot only has broken down by type of change,NA,Mandarin,English,NA,1.01953522,10,0.920870521,0.67665858,0.668828883,0.457866834,0.447332075
9,Interval discrimination,Interval discrimination,Giuliano et al. (2011),16,16,NA,NA,NA,NA,NA,,"two pair of notes, first interval C5-G5; second interval F#5-C#6; on different trials C#6 altered by different cents of change; participants judge whether same or different; 160 no change trials and 240 change trials",Fine-tuned,both groups did not differ significantly in length of musical training,"F(1, 30) = 1.574, p = 0.219; graph only has specific breakdowns by cents",NA,Mandarin,English,NA,0.281495393,32,0.274398871,0.361924709,0.361516429,0.130989495,0.130694129
10,Melody test,Melody test,Swaminathan et al (2021),107,408,38.308,4.403,35.48,5.465,NA,# correct responses,"Part of MET. 52 trials, each piano melodic phase contains 3-8 notes, participants judge whether two phrases in a trial are identical",Melodic,396 had no private music lesson history; on average 2.6 years of private music lessons ,"tonal native speakers performed significantly better, F(2, 513) = 10.71, p < 0.001; number of correct? ",NA,Mandarin or Cantonese (mostly) vs English (mostly),,5.263155416,0.537320253,515,0.536534314,0.109895763,0.109892035,0.012077079,0.012076259
11,Rhythm test,Rhythm test,Swaminathan et al (2021),107,408,36.57,4.949,36.515,4.919,NA,# correct responses,"Part of MET. 52 tirals, 4-11 beats played with wood block; participants judge whether two phrases in a trial are identical",Rhythm,397 had no private music lesson history; on average 2.6 years of private music lessons,"performed similarly, F(2, 513) = 1.95, p = 1.43",NA,Mandarin or Cantonese (mostly) vs English (mostly),,4.925213808,0.011167028,515,0.011150694,0.108613516,0.108613514,0.011796896,0.011796896
12,Interval discrimination,Interval discrimination,Pfordresher \& Brown (2009),12,12,0.6,0.22,0.31,0.26,NA,Sensitivity d',"pairs of two-note melodic intervals. Standard interval has C5 and G5. second interval began on F#5, the note following can be same, higher, or lower. Modifications are 25, 50, 100, 200, or 400 cents. Participants judge whether intervals are the same ",Fine-tuned,limited musical skills matched across groups,"tonal language speakers performed significantly better; t(22) = 2.99, p < .01； plot is not very informative",NA,"Mandarin, Cantonese, or Vietnamese",English,0.240831892,1.204159458,24,1.162636718,0.443705984,0.44139278,0.196875,0.194827586
13,Note discrimination,Note discrimination,Pfordresher \& Brown (2009),12,12,0.82,0.14,0.85,0.13,NA,Sensitivity d',"two 1-sec sine-wave notes separated by a 1-sec pause; the first note is always a C5 and second note are 50% same, 25% higher, 25% lower, includes 25, 50, 100, 200, 400,600, and 800 cent changes",Fine-tuned,limited musical skills matched across groups,no significant differences,NA,"Mandarin, Cantonese, or Vietnamese",English,0.135092561,-0.222069963,24,-0.214412378,0.409504657,0.409419627,0.167694064,0.167624431
14,Interval discrimination,Interval discrimination,Pfordresher \& Brown (2009),11,11,0.37,0.27,0.13,0.28,NA,Sensitivity d',"pairs of two-note melodic intervals. Standard interval has C5 and G5. second interval began on F#5, the note following can be same, higher, or lower.Modifications are 25, 50, 100, 200, or 400 cents",Fine-tuned,similar in terms of musical training across groups,"tonal language speakers performed significantly better, t(20) = 1.92, p < 0.05",NA,Mandarin,English or Portuguese,0.275045451,0.872583056,22,0.839446991,0.446231727,0.444784709,0.199122754,0.197833438
15,Note discrimination,Note discrimination,Pfordresher \& Brown (2009),11,11,0.67,0.17,0.7,0.15,NA,Sensitivity d',"two 1-sec sine-wave notes separated by a 1-sec pause; the first note is always a C5 and second note are 50% same, 25% higher, 25% lower, includes 25, 50, 100, 200, 400,600, and 800 cent changes",Fine-tuned,similar in terms of musical training across groups,no significant differences,NA,Mandarin,English or Portuguese,0.160312195,-0.187134858,22,-0.180028471,0.427333685,0.427264296,0.182614079,0.182554778
16,Melody comparison,Melody comparison,Zheng \& Samuel (2018),24,48,71.65,9.17,72.865,9.037097891,NA,% Correct,"two melodies that are either identical, or different by one tone or several tones; task created by the Music and Brain Imaging lab at Harvard Medical School",Melodic,an additional 24 musicians for each group were included in the study but not included here,Percent correct,NA,Mandarin,Korean or English,9.080980281,-0.133796128,72,-0.13235746,0.250248507,0.250243194,0.062624315,0.062621656
17,Pitch precision,Pitch precision,Zheng \& Samuel (2018),24,48,14.46,14.07,16.43,16.33896257,NA,Pitch Precision (Hz)- lower better,staircase procedure. Two short tones and judge whether second tone was higher or lower; difficulty adapted to performance; value indicates participants' frequency sensitivity (lower = better),Fine-tuned,an additional 24 musicians for each group were included in the study but not included here,pitch percision in Hz,TRUE,Mandarin,Korean or English,15.62982154,-0.126041106,72,0.124685826,0.250220547,0.250215831,0.062610322,0.062607962
